1,a,a.sigml
2,b,b.sigml
3,c,c.sigml
4,d,d.sigml
5,e,e.sigml
6,f,f.sigml
7,g,g.sigml
8,h,h.sigml
9,i,i.sigml
10,j,j.sigml
11,k,k.sigml
12,l,l.sigml
13,m,m.sigml
14,n,n.sigml
15,o,o.sigml
16,p,p.sigml
17,q,q.sigml
18,r,r.sigml
19,s,s.sigml
20,t,t.sigml
21,u,u.sigml
22,v,v.sigml
23,w,w.sigml
24,x,x.sigml
25,y,y.sigml
26,z,z.sigml
27,0,0.sigml
28,1,1.sigml
29,2,2.sigml
30,3,3.sigml
31,4,4.sigml
32,5,5.sigml
33,6,6.sigml
34,7,7.sigml
35,8,8.sigml
36,9,9.sigml
37,hello,37.sigml
38,bird,38.sigml
39,is,39.sigml
40,rahul,40.sigml
41,flying,41.sigml
